Ticker,Empresa,setor_original,Setor,PL,PVP,ROE,DivYield,MarketCap,Preco,Categoria,Score,PrecoJusto,Desconto_%,Ranking,Risco
UNIP6,UNIPAR      PNB,Basic Materials,Materiais Básicos,10.434191,3.116443,0.29680002,0.1459,7698579968,68.97,Small Caps,35,99.15,30.43872919818457,33.63161875945537,Baixo
UNIP5,UNIPAR      PNA,Basic Materials,Materiais Básicos,10.574886,3.1584654,0.29680002,0.1456,7802388480,69.9,Small Caps,35,99.15,29.500756429652043,33.35022692889561,Baixo
FIQE3,UNIFIQUE    ON      NM,Communication Services,Comunicação,10.58,1.6207108,0.16124001,0.159,2059008512,5.29,Small Caps,35,7.5,29.46666666666667,33.34,Baixo
ABEV3,AMBEV S/A   ON,Consumer Defensive,Consumo Defensivo,16.505377,2.7264655,0.16976999,0.153,239713665024,15.35,Blue Chips,50,13.95,-10.035842293906812,31.989247311827956,Baixo
CEBR5,CEB         PNA,Utilities,Utilidades Públicas,12.073171,2.1518621,0.18868,0.1528,2287921664,29.7,Small Caps,35,36.9,19.51219512195122,30.353658536585364,Baixo
CEBR6,CEB         PNB,Utilities,Utilidades Públicas,12.243902,2.1822925,0.18868,0.1637,2171107328,30.12,Small Caps,35,36.9,18.373983739837392,30.012195121951216,Baixo
ODPV3,ODONTOPREV  ON      NM,Healthcare,Saúde,12.719625,5.749894,0.447,0.0728,7418718208,13.59,Small Caps,35,16.03,15.221459762944486,29.066437928883346,Baixo
CEBR3,CEB         ON,Utilities,Utilidades Públicas,12.882113,2.296044,0.18868,0.1434,2359208448,31.69,Small Caps,35,36.9,14.119241192411916,28.735772357723576,Baixo
RDOR3,REDE D OR   ON      NM,Healthcare,Saúde,19.460398,4.4818153,0.20047002,0.085,86730465280,39.31,Blue Chips,50,30.3,-29.735973597359738,26.07920792079208,Baixo
EGIE3,ENGIE BRASILON      NM,Utilities,Utilidades Públicas,14.243362,2.8823423,0.2182,0.0473,36772929536,32.19,Mid Caps,35,33.9,5.044247787610622,26.013274336283185,Baixo
MULT3,MULTIPLAN   ON      N2,Real Estate,Imobiliário,14.44348,2.580595,0.19108,0.0365,16274213888,33.22,Mid Caps,35,34.5,3.710144927536235,25.61304347826087,Baixo
SBSP3,SABESP      ON      NM,Utilities,Utilidades Públicas,14.503415,2.4495783,0.17889999,0.0414,104094629888,148.66,Blue Chips,35,153.75,3.3105691056910596,25.493170731707316,Baixo
TTEN3,3TENTOS     ON      NM,Basic Materials,Materiais Básicos,10.127907,1.853783,0.19983,0.021,8700949504,17.42,Small Caps,20,25.8,32.48062015503875,23.744186046511622,Baixo
PTNT4,PETTENATI   PN,Consumer Cyclical,Consumo Cíclico,12.923077,0.95857584,0.12005,0.0316,403590496,8.4,Small Caps,25,9.75,13.846153846153841,21.653846153846153,Baixo
PTNT3,PETTENATI   ON,Consumer Cyclical,Consumo Cíclico,13.138462,0.97455215,0.12005,0.0313,410316992,8.54,Small Caps,25,9.75,12.41025641025642,21.223076923076924,Baixo
MILS3,MILLS       ON      NM,Industrials,Indústria,12.0,2.025385,0.18961,0.049699999999999994,3400621312,15.0,Small Caps,20,18.75,20.0,20.0,Baixo
EQTL3,EQUATORIAL  ON      NM,Utilities,Utilidades Públicas,15.922781,1.8125083,0.1313,0.056799999999999996,51889852416,41.24,Blue Chips,30,38.85,-6.1518661518661535,19.154440154440152,Baixo
CPLE3,COPEL       ON      NM,Utilities,Utilidades Públicas,16.166668,1.8682588,0.10955,0.0818,43214532608,14.55,Mid Caps,30,13.5,-7.777777777777784,18.666666666666664,Baixo
BMEB3,MERCANTIL   ON      N1,Financial Services,Serviços Financeiros,13.793104,3.3333333,0.40597,0.0229,9301141504,72.0,Small Caps,20,78.3,8.04597701149425,16.413793103448274,Médio
B3SA3,B3          ON      NM,Financial Services,Serviços Financeiros,19.5,5.178984,0.25591,0.0327,89929695232,17.94,Blue Chips,35,13.8,-30.000000000000004,15.5,Baixo
GGPS3,GPS         ON      NM,Industrials,Indústria,20.488638,3.469977,0.18178,0.0291,13522680832,18.03,Mid Caps,35,13.2,-36.59090909090911,13.522727272727268,Médio
BMEB4,MERCANTIL   PN      N1,Financial Services,Serviços Financeiros,15.2490425,3.685185,0.40597,0.0227,9821058048,79.6,Small Caps,20,78.3,-1.6602809706257948,13.50191570881226,Médio
BMOB3,BEMOBI TECH ON      NM,Communication Services,Comunicação,13.744319,1.7969099,0.13066,0.09119999999999999,2041247872,24.19,Small Caps,15,26.4,8.37121212121211,13.011363636363633,Baixo
SLCE3,SLC AGRICOLAON      NM,Consumer Defensive,Consumo Defensivo,13.965518,1.5270054,0.11078,0.0791,8048912384,16.2,Small Caps,15,17.4,6.896551724137928,12.568965517241377,Baixo
FLRY3,FLEURY      ON      NM,Healthcare,Saúde,14.890908,1.6547124,0.10616,0.1139,8927352832,16.38,Small Caps,15,16.5,0.7272727272727333,10.71818181818182,Baixo
SMFT3,SMART FIT   ON      NM,Consumer Cyclical,Consumo Cíclico,20.284212,2.0110626,0.107480004,0.0761,11835896832,19.27,Mid Caps,30,14.25,-35.22807017543859,10.431578947368424,Médio
VAMO3,VAMOS       ON      NM,Industrials,Indústria,11.205129,1.7706645,0.10601,0.0323,4658344448,4.37,Small Caps,0,5.85,25.29914529914529,7.589743589743587,Baixo
FRAS3,"FRAS,LE     ON      N1",Consumer Cyclical,Consumo Cíclico,18.348484,2.7874322,0.16083999,0.030299999999999997,6717056000,24.22,Small Caps,20,19.8,-22.323232323232315,7.303030303030305,Baixo
TKNO3,TEKNO       ON,Basic Materials,Materiais Básicos,17.8267,1.8923677,0.11018,0.1005,645910784,214.99,Small Caps,15,180.9,-18.844665561083474,4.846600331674958,Baixo
TKNO4,TEKNO       PN,Basic Materials,Materiais Básicos,18.242123,1.9364663,0.11018,0.1005,648518208,220.0,Small Caps,15,180.9,-21.61415146489773,4.015754560530681,Baixo
IGTI4,IGUATEMI S.APN  ED  N1,Real Estate,Imobiliário,27.063831,0.8757918,0.13001001,0.022799999999999997,15343843328,12.72,Mid Caps,40,7.05,-80.42553191489364,3.8723404255319096,Médio
MOVI3,MOVIDA      ON      NM,Industrials,Indústria,21.825397,1.6760116,0.10215,0.06559999999999999,4649779200,13.75,Small Caps,15,9.45,-45.502645502645514,-3.150793650793654,Médio
